gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Plek	-0.239054960413863	4.3028456275692	2.32370769623486	0.127415998701973	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm15700	-0.524416713691499	0.897497424218248	2.32293451737453	0.127479332080565	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Elf1	0.367496509096261	3.03860015149421	2.32269647194618	0.127498838141592	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Zbtb25	0.1685810500539	4.90547479341376	2.32258815732515	0.127507714822596	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm13306	0.882574095754966	-0.506111136238934	2.32163216914997	0.127586090511552	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Epc2	-0.171183901765793	6.4521085479698	2.3212934878411	0.127613869804095	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Lef1	1.44222848717235	-1.40319528055937	2.32046890338403	0.127681531957354	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Sinhcaf	1.44222848717235	-1.40319528055937	2.32046890338403	0.127681531957354	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Mark1	-0.148296117934783	6.80052604418778	2.32038773002373	0.127688194882057	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Mlh1	0.370754980772094	3.90851643852788	2.31999598603106	0.127720355708708	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
