gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Rad54l2	0.020044559	5.564098898	0.19914673	0.655410464	0.873546366	pseudobulk	edgeR	LRT
Ppfia3	0.019961601	5.977029155	0.198706287	0.655767127	0.873878483	pseudobulk	edgeR	LRT
Kitl	-0.028072037	5.545712136	0.198086428	0.65626988	0.874034057	pseudobulk	edgeR	LRT
Meis3	-0.025720486	4.707986705	0.196797349	0.657318448	0.874941969	pseudobulk	edgeR	LRT
Nav1	-0.016058045	6.783641202	0.195380475	0.65847572	0.875850226	pseudobulk	edgeR	LRT
Fam81a	0.017186267	6.145653278	0.19516986	0.658648174	0.875947127	pseudobulk	edgeR	LRT
Thoc1	-0.017685544	6.000469178	0.193785981	0.659784082	0.87688407	pseudobulk	edgeR	LRT
Sec22b	0.023928487	4.856617773	0.19309477	0.660353253	0.877337476	pseudobulk	edgeR	LRT
Atp6v0d1	0.017921899	5.95870586	0.189858742	0.663034211	0.87919727	pseudobulk	edgeR	LRT
Atm	0.022903356	5.06603803	0.18972382	0.66314658	0.87919727	pseudobulk	edgeR	LRT
Vipas39	-0.021694878	5.110854192	0.189282689	0.663514301	0.879481759	pseudobulk	edgeR	LRT
Mpp2	0.02092158	5.580813396	0.188912348	0.663823406	0.879489529	pseudobulk	edgeR	LRT
Tmem170b	-0.019723731	5.488447327	0.188768072	0.663943924	0.879489529	pseudobulk	edgeR	LRT
Necab3	-0.021463587	5.238096059	0.188371524	0.664275454	0.879724596	pseudobulk	edgeR	LRT
Kif21b	0.016663548	6.143804624	0.188276836	0.664354678	0.879724596	pseudobulk	edgeR	LRT
Aven	-0.029275018	4.559871668	0.188210841	0.66440991	0.879724596	pseudobulk	edgeR	LRT
Zdhhc21	-0.015248086	6.469613466	0.188030566	0.66456084	0.879876676	pseudobulk	edgeR	LRT
Scaf1	0.018456099	5.65840131	0.187204515	0.665253532	0.88050394	pseudobulk	edgeR	LRT
Arrb1	0.018927122	5.632281529	0.18609319	0.66618831	0.881409485	pseudobulk	edgeR	LRT
Ubac2	0.017192215	6.206798219	0.184474606	0.667555704	0.882524505	pseudobulk	edgeR	LRT
Smyd3	-0.010598287	9.112459017	0.183134123	0.668693545	0.88323891	pseudobulk	edgeR	LRT
Nsmaf	0.020339309	5.678218551	0.18301891	0.668791572	0.883303569	pseudobulk	edgeR	LRT
