gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Prdm15	-0.017345901	4.87622736	0.083609006	0.772464894	0.93385351	pseudobulk	edgeR	LRT
Bicd1	-0.008248142	8.404210949	0.08350117	0.772607634	0.93385351	pseudobulk	edgeR	LRT
Srrm1	-0.009977561	7.073882264	0.083321021	0.772846314	0.93385351	pseudobulk	edgeR	LRT
Xpo4	0.016785153	5.079501613	0.083144001	0.773081122	0.933900692	pseudobulk	edgeR	LRT
Hsph1	-0.01262438	5.947495809	0.083120896	0.773111789	0.933900692	pseudobulk	edgeR	LRT
Vta1	-0.01494119	5.65103801	0.081978025	0.774634536	0.935029362	pseudobulk	edgeR	LRT
Slc44a1	0.009092782	7.345847936	0.081309382	0.775530756	0.935416605	pseudobulk	edgeR	LRT
Borcs5	0.017432355	5.282275001	0.081249152	0.775611682	0.935438716	pseudobulk	edgeR	LRT
Zfp384	-0.015365484	5.233749846	0.080798702	0.776217938	0.935967681	pseudobulk	edgeR	LRT
Sesn3	0.011991996	6.458690566	0.080475205	0.776654458	0.936262554	pseudobulk	edgeR	LRT
Itgav	-0.015887131	5.430200645	0.080436771	0.776706383	0.936278864	pseudobulk	edgeR	LRT
Dlg4	0.012089954	6.069850228	0.080407082	0.776746502	0.936280941	pseudobulk	edgeR	LRT
Gm32926	0.020817443	4.669116059	0.079892142	0.77744363	0.936797101	pseudobulk	edgeR	LRT
Atad3a	-0.014881417	5.37103457	0.079717503	0.777680607	0.936943755	pseudobulk	edgeR	LRT
Nprl3	0.01613879	5.192978522	0.079684387	0.777725576	0.936949569	pseudobulk	edgeR	LRT
Ezh2	0.018728183	4.527605971	0.079269779	0.778289433	0.937236901	pseudobulk	edgeR	LRT
Rlf	0.010380094	6.680145529	0.079213311	0.778366351	0.937236901	pseudobulk	edgeR	LRT
Mllt3	0.007495365	8.26883893	0.07917151	0.778423309	0.937236901	pseudobulk	edgeR	LRT
Mgst3	0.019657787	4.523094966	0.079159701	0.778439404	0.937236901	pseudobulk	edgeR	LRT
Ints3	-0.01718251	5.015449657	0.079040008	0.778602601	0.937267336	pseudobulk	edgeR	LRT
Plaa	0.013433166	5.853303403	0.078450762	0.779407972	0.937734195	pseudobulk	edgeR	LRT
Fam193a	0.009299906	7.274440313	0.078157176	0.779810457	0.937734195	pseudobulk	edgeR	LRT
Psmc4	-0.019771632	4.604493475	0.07793277	0.780118652	0.937864332	pseudobulk	edgeR	LRT
Usp22	0.012174168	6.36404597	0.077337129	0.780939019	0.938337784	pseudobulk	edgeR	LRT
Bcat1	-0.018195901	4.872560587	0.077195222	0.781134968	0.938508878	pseudobulk	edgeR	LRT
Cacng8	0.014659182	5.424237976	0.077134843	0.7812184	0.938562875	pseudobulk	edgeR	LRT
Taf3	0.014257614	5.622693184	0.076961131	0.78145863	0.938758988	pseudobulk	edgeR	LRT
Hk1	-0.010987695	6.384985606	0.076929895	0.781501858	0.93876467	pseudobulk	edgeR	LRT
Slc38a9	-0.012528596	5.994385202	0.076192497	0.782525114	0.939346012	pseudobulk	edgeR	LRT
Sec13	0.017973029	4.579166075	0.075877402	0.782963982	0.939641553	pseudobulk	edgeR	LRT
Clk3	0.014898633	5.567141082	0.075655504	0.783273633	0.939714465	pseudobulk	edgeR	LRT
Msi2	0.010229363	7.016992017	0.075585397	0.783371566	0.939714465	pseudobulk	edgeR	LRT
Heatr1	0.019034112	4.601417969	0.074804615	0.784465569	0.94033527	pseudobulk	edgeR	LRT
Stk19	0.018115774	4.920993346	0.074803229	0.784467517	0.94033527	pseudobulk	edgeR	LRT
Gpatch2	0.011367659	6.285449847	0.074659189	0.784670012	0.940466204	pseudobulk	edgeR	LRT
Mia2	-0.013896714	5.747293936	0.07439198	0.785046218	0.940612816	pseudobulk	edgeR	LRT
